證券代碼	簡稱	年月日	收盤價(元)
1101   	台泥         	20140102	   32.76
1102   	亞泥         	20140102	   30.45
1103   	嘉泥         	20140102	   13.42
1104   	環泥         	20140102	   20.91
1108   	幸福         	20140102	    6.49
1109   	信大         	20140102	   10.76
1110   	東泥         	20140102	   16.87
1201   	味全         	20140102	   50.47
1203   	味王         	20140102	   19.84
1210   	大成         	20140102	   15.43
1101   	台泥         	20140103	   32.15
1102   	亞泥         	20140103	   30.17
1103   	嘉泥         	20140103	   13.51
1104   	環泥         	20140103	   20.83
1108   	幸福         	20140103	    6.47
1109   	信大         	20140103	   10.80
1110   	東泥         	20140103	   16.54
1201   	味全         	20140103	   50.37
1203   	味王         	20140103	   19.88
1210   	大成         	20140103	   15.52
1101   	台泥         	20140106	   31.46
1102   	亞泥         	20140106	   29.97
1103   	嘉泥         	20140106	   13.12
1104   	環泥         	20140106	   20.83
1108   	幸福         	20140106	    6.45
1109   	信大         	20140106	   10.71
1110   	東泥         	20140106	   16.44
1201   	味全         	20140106	   49.78
1203   	味王         	20140106	   19.84
1210   	大成         	20140106	   15.58
1101   	台泥         	20140107	   31.86
1102   	亞泥         	20140107	   30.05
1103   	嘉泥         	20140107	   13.38
1104   	環泥         	20140107	   22.27
1108   	幸福         	20140107	    6.47
1109   	信大         	20140107	   10.76
1110   	東泥         	20140107	   16.63
1201   	味全         	20140107	   49.98
1203   	味王         	20140107	   19.88
1210   	大成         	20140107	   15.61
1101   	台泥         	20140108	   31.68
1102   	亞泥         	20140108	   30.01
1103   	嘉泥         	20140108	   13.29
1104   	環泥         	20140108	   21.83
1108   	幸福         	20140108	    6.45
1109   	信大         	20140108	   10.71
1110   	東泥         	20140108	   16.58
1201   	味全         	20140108	   49.49
1203   	味王         	20140108	   19.84
1210   	大成         	20140108	   15.37
1101   	台泥         	20140109	   30.96
1102   	亞泥         	20140109	   29.93
1103   	嘉泥         	20140109	   13.21
1104   	環泥         	20140109	   21.02
1108   	幸福         	20140109	    6.44
1109   	信大         	20140109	   10.76
1110   	東泥         	20140109	   16.49
1201   	味全         	20140109	   48.89
1203   	味王         	20140109	   20.04
1210   	大成         	20140109	   15.49
1101   	台泥         	20140110	   31.61
1102   	亞泥         	20140110	   29.93
1103   	嘉泥         	20140110	   13.38
1104   	環泥         	20140110	   21.13
1108   	幸福         	20140110	    6.44
1109   	信大         	20140110	   10.80
1110   	東泥         	20140110	   16.49
1201   	味全         	20140110	   48.84
1203   	味王         	20140110	   20.16
1210   	大成         	20140110	   15.55
1101   	台泥         	20140113	   31.61
1102   	亞泥         	20140113	   29.81
1103   	嘉泥         	20140113	   13.25
1104   	環泥         	20140113	   20.87
1108   	幸福         	20140113	    6.41
1109   	信大         	20140113	   10.80
1110   	東泥         	20140113	   16.58
1201   	味全         	20140113	   49.39
1203   	味王         	20140113	   20.28
1210   	大成         	20140113	   15.55
1101   	台泥         	20140114	   31.83
1102   	亞泥         	20140114	   29.81
1103   	嘉泥         	20140114	   13.25
1104   	環泥         	20140114	   20.94
1108   	幸福         	20140114	    6.41
1109   	信大         	20140114	   10.80
1110   	東泥         	20140114	   16.49
1201   	味全         	20140114	   48.99
1203   	味王         	20140114	   20.12
1210   	大成         	20140114	   15.49
1101   	台泥         	20140115	   32.29
1102   	亞泥         	20140115	   30.05
1103   	嘉泥         	20140115	   13.29
1104   	環泥         	20140115	   22.35
1108   	幸福         	20140115	    6.41
1109   	信大         	20140115	   10.90
1110   	東泥         	20140115	   16.58
1201   	味全         	20140115	   49.09
1203   	味王         	20140115	   20.16
1210   	大成         	20140115	   15.43
1101   	台泥         	20140116	   31.75
1102   	亞泥         	20140116	   30.05
1103   	嘉泥         	20140116	   13.29
1104   	環泥         	20140116	   21.87
1108   	幸福         	20140116	    6.40
1109   	信大         	20140116	   10.80
1110   	東泥         	20140116	   16.44
1201   	味全         	20140116	   48.89
1203   	味王         	20140116	   20.00
1210   	大成         	20140116	   15.37
1101   	台泥         	20140117	   31.61
1102   	亞泥         	20140117	   30.05
1103   	嘉泥         	20140117	   13.17
1104   	環泥         	20140117	   22.13
1108   	幸福         	20140117	    6.38
1109   	信大         	20140117	   10.71
1110   	東泥         	20140117	   16.39
1201   	味全         	20140117	   48.84
1203   	味王         	20140117	   20.08
1210   	大成         	20140117	   15.37
1101   	台泥         	20140120	   31.86
1102   	亞泥         	20140120	   30.05
1103   	嘉泥         	20140120	   13.21
1104   	環泥         	20140120	   21.94
1108   	幸福         	20140120	    6.41
1109   	信大         	20140120	   10.71
1110   	東泥         	20140120	   16.25
1201   	味全         	20140120	   49.14
1203   	味王         	20140120	   19.96
1210   	大成         	20140120	   15.49
1101   	台泥         	20140121	   32.40
1102   	亞泥         	20140121	   30.05
1103   	嘉泥         	20140121	   13.21
1104   	環泥         	20140121	   22.24
1108   	幸福         	20140121	    6.30
1109   	信大         	20140121	   10.71
1110   	東泥         	20140121	   16.16
1201   	味全         	20140121	   49.04
1203   	味王         	20140121	   19.76
1210   	大成         	20140121	   15.40
1101   	台泥         	20140122	   32.62
1102   	亞泥         	20140122	   30.29
1103   	嘉泥         	20140122	   13.29
1104   	環泥         	20140122	   21.68
1108   	幸福         	20140122	    6.31
1109   	信大         	20140122	   10.80
1110   	東泥         	20140122	   16.06
1201   	味全         	20140122	   48.75
1203   	味王         	20140122	   19.88
1210   	大成         	20140122	   15.43
1101   	台泥         	20140123	   32.80
1102   	亞泥         	20140123	   30.05
1103   	嘉泥         	20140123	   13.21
1104   	環泥         	20140123	   21.42
1108   	幸福         	20140123	    6.31
1109   	信大         	20140123	   10.71
1110   	東泥         	20140123	   15.92
1201   	味全         	20140123	   47.56
1203   	味王         	20140123	   19.84
1210   	大成         	20140123	   15.46
1101   	台泥         	20140124	   32.73
1102   	亞泥         	20140124	   30.13
1103   	嘉泥         	20140124	   13.29
1104   	環泥         	20140124	   21.42
1108   	幸福         	20140124	    6.31
1109   	信大         	20140124	   10.76
1110   	東泥         	20140124	   15.92
1201   	味全         	20140124	   47.66
1203   	味王         	20140124	   19.72
1210   	大成         	20140124	   15.37
1101   	台泥         	20140127	   31.97
1102   	亞泥         	20140127	   29.81
1103   	嘉泥         	20140127	   13.25
1104   	環泥         	20140127	   21.20
1108   	幸福         	20140127	    6.25
1109   	信大         	20140127	   10.67
1110   	東泥         	20140127	   15.97
1201   	味全         	20140127	   47.46
1203   	味王         	20140127	   19.60
1210   	大成         	20140127	   15.32
1101   	台泥         	20140205	   30.74
1102   	亞泥         	20140205	   28.77
1103   	嘉泥         	20140205	   13.21
1104   	環泥         	20140205	   20.91
1108   	幸福         	20140205	    6.23
1109   	信大         	20140205	   10.53
1110   	東泥         	20140205	   16.11
1201   	味全         	20140205	   47.41
1203   	味王         	20140205	   19.60
1210   	大成         	20140205	   15.11
1101   	台泥         	20140206	   31.32
1102   	亞泥         	20140206	   28.77
1103   	嘉泥         	20140206	   13.25
1104   	環泥         	20140206	   21.39
1108   	幸福         	20140206	    6.20
1109   	信大         	20140206	   10.49
1110   	東泥         	20140206	   15.82
1201   	味全         	20140206	   47.41
1203   	味王         	20140206	   19.68
1210   	大成         	20140206	   15.08
1101   	台泥         	20140207	   31.46
1102   	亞泥         	20140207	   29.17
1103   	嘉泥         	20140207	   13.21
1104   	環泥         	20140207	   21.13
1108   	幸福         	20140207	    6.24
1109   	信大         	20140207	   10.44
1110   	東泥         	20140207	   16.06
1201   	味全         	20140207	   48.55
1203   	味王         	20140207	   19.72
1210   	大成         	20140207	   15.08
1101   	台泥         	20140210	   31.97
1102   	亞泥         	20140210	   29.13
1103   	嘉泥         	20140210	   13.25
1104   	環泥         	20140210	   21.20
1108   	幸福         	20140210	    6.22
1109   	信大         	20140210	   10.53
1110   	東泥         	20140210	   16.11
1201   	味全         	20140210	   49.34
1203   	味王         	20140210	   19.80
1210   	大成         	20140210	   15.11
1101   	台泥         	20140211	   32.22
1102   	亞泥         	20140211	   29.25
1103   	嘉泥         	20140211	   13.29
1104   	環泥         	20140211	   21.53
1108   	幸福         	20140211	    6.37
1109   	信大         	20140211	   10.85
1110   	東泥         	20140211	   16.16
1201   	味全         	20140211	   48.84
1203   	味王         	20140211	   19.72
1210   	大成         	20140211	   15.14
1101   	台泥         	20140212	   32.69
1102   	亞泥         	20140212	   29.93
1103   	嘉泥         	20140212	   13.34
1104   	環泥         	20140212	   22.13
1108   	幸福         	20140212	    6.57
1109   	信大         	20140212	   10.94
1110   	東泥         	20140212	   15.97
1201   	味全         	20140212	   48.79
1203   	味王         	20140212	   19.72
1210   	大成         	20140212	   15.08
1101   	台泥         	20140213	   32.80
1102   	亞泥         	20140213	   29.89
1103   	嘉泥         	20140213	   13.42
1104   	環泥         	20140213	   21.87
1108   	幸福         	20140213	    6.80
1109   	信大         	20140213	   10.99
1110   	東泥         	20140213	   15.92
1201   	味全         	20140213	   49.04
1203   	味王         	20140213	   19.68
1210   	大成         	20140213	   15.05
1101   	台泥         	20140214	   33.02
1102   	亞泥         	20140214	   30.09
1103   	嘉泥         	20140214	   13.42
1104   	環泥         	20140214	   22.31
1108   	幸福         	20140214	    6.78
1109   	信大         	20140214	   10.80
1110   	東泥         	20140214	   15.78
1201   	味全         	20140214	   49.39
1203   	味王         	20140214	   19.52
1210   	大成         	20140214	   15.08
1101   	台泥         	20140217	   33.20
1102   	亞泥         	20140217	   29.81
1103   	嘉泥         	20140217	   13.34
1104   	環泥         	20140217	   22.75
1108   	幸福         	20140217	    6.78
1109   	信大         	20140217	   10.94
1110   	東泥         	20140217	   15.63
1201   	味全         	20140217	   50.37
1203   	味王         	20140217	   19.52
1210   	大成         	20140217	   15.05
1101   	台泥         	20140218	   33.23
1102   	亞泥         	20140218	   30.13
1103   	嘉泥         	20140218	   13.42
1104   	環泥         	20140218	   23.27
1108   	幸福         	20140218	    6.74
1109   	信大         	20140218	   10.94
1110   	東泥         	20140218	   15.54
1201   	味全         	20140218	   49.88
1203   	味王         	20140218	   19.52
1210   	大成         	20140218	   15.14
1101   	台泥         	20140219	   33.05
1102   	亞泥         	20140219	   30.21
1103   	嘉泥         	20140219	   13.42
1104   	環泥         	20140219	   22.72
1108   	幸福         	20140219	    6.69
1109   	信大         	20140219	   11.03
1110   	東泥         	20140219	   15.63
1201   	味全         	20140219	   49.39
1203   	味王         	20140219	   19.68
1210   	大成         	20140219	   15.23
1101   	台泥         	20140220	   33.09
1102   	亞泥         	20140220	   30.17
1103   	嘉泥         	20140220	   13.34
1104   	環泥         	20140220	   22.01
